period_end,nikkei_ret,growth_ret,reit_ret,leveraged_ret,topix_ret,value_factor_ret,value_pbr_ret
2020-09-30,0.29537614144646107,0.9894514767932492,0.1863082336439601,0.6324921135646686,0.29537614144646107,0.0,
2021-03-31,0.2772195023252304,0.0021208907741254723,0.16449094595315938,0.6014492753623188,0.2772195023252304,0.0,
2021-09-30,-0.013856140081116908,-0.08571428571428563,0.03698145120814278,-0.02213865927484293,-0.013856140081116908,0.0,
2022-03-31,-0.029124603358829382,-0.29317128216778776,0.01655452440849503,-0.0810126582278482,-0.029124603358829382,0.0,
2022-09-30,-0.05573194222847844,-0.11740627275888194,0.01644004154361145,-0.12809917355371903,-0.05573194222847844,0.0,
2023-03-31,0.09577248328427324,0.07829315808354576,-0.10044271748572275,0.18009478672985813,0.09577248328427324,0.0,
2023-09-30,0.14679472344851452,-0.028217522487285485,0.0603990865981614,0.29183400267737647,0.14679472344851452,0.0,
2024-03-31,0.25992130325122,0.007967422268517321,-0.017221940323183693,0.5544041450777202,0.25992130325122,0.0,0.15483237212485657
2024-09-30,-0.023186479033972862,-0.08958370120068715,-0.016836288412510947,-0.11166666666666658,-0.023186479033972862,0.0,-0.010931361141265028
2025-03-31,-0.06719961183995449,-0.03511476387825618,0.0032541668628440767,-0.15478424015009395,-0.06719961183995449,0.0,0.08857390041661173
2025-09-30,0.2609799241132911,0.13377323151369214,0.15559603490637985,0.527635960044395,0.2609799241132911,0.0,0.16170931587678528
2026-03-31,0.21599999999999997,0.02821869488536155,0.007498426086637755,0.40453356582388844,0.21599999999999997,0.0,0.2974729241877254
