period_end,nikkei_ret,growth_ret,reit_ret,leveraged_ret,topix_ret,value_factor_ret,value_pbr_ret
2020-09-30,0.2953764051954284,0.9894514767932492,0.18630813280757264,0.6324921135646686,0.2953764051954284,0.0,
2021-03-31,0.2772193890313468,0.0021208907741254723,0.1644912149354132,0.6014492753623188,0.2772193890313468,0.0,
2021-09-30,-0.013856140081116797,-0.08571428571428563,0.03698137281594671,-0.02213865927484293,-0.013856140081116797,0.0,
2022-03-31,-0.029124532932485514,-0.29317128216778776,0.016554452852952872,-0.0810126582278482,-0.029124532932485514,0.0,
2022-09-30,-0.05573193818573852,-0.11740627275888194,0.016439972299642447,-0.12809917355371903,-0.05573193818573852,0.0,
2023-03-31,0.09577247592699689,0.07829315808354576,-0.10044265620427162,0.18009478672985813,0.09577247592699689,0.0,
2023-09-30,0.14679471315730575,-0.028217522487285485,0.06039916232875542,0.29183400267737647,0.14679471315730575,0.0,
2024-03-31,0.25992122622941993,0.007967422268517321,-0.01722193909324332,0.5544041450777202,0.25992122622941993,0.0,0.15483237212485634
2024-09-30,-0.023186479033972862,-0.08958370120068715,-0.016836287189042176,-0.11166666666666658,-0.023186479033972862,0.0,-0.010931361141265028
2025-03-31,-0.06719961183995449,-0.03511476387825618,0.0032540187963654432,-0.15478424015009395,-0.06719961183995449,0.0,0.08857390041661173
2025-09-30,0.2609799241132911,0.13377323151369214,0.1555961200428868,0.527635960044395,0.2609799241132911,0.0,0.16170931587678528
2026-03-31,0.21599999999999997,0.02821869488536155,0.007498426086637755,0.40453356582388844,0.21599999999999997,0.0,0.2974729241877254
